user_id	item_id	behavior_type	behavior_ts	impression_id
U45775	V172217	1	2024-04-10T01:32:55.024000	206515
U172465	V175059	1	2024-04-12T10:43:37.586000	4957852
U172465	V126034	1	2024-05-09T12:04:33.728000	5585332
U152108	V21827	4	2024-05-31T11:16:53.984000	5802656
U224612	V71764	3	2024-05-19T14:40:28.239000	5776557
U193780	V158221	1	2024-03-07T20:17:01.960000	4052127
U191576	V71098	2	2024-03-01T22:39:10.897000	3906872
U41536	V138664	1	2024-02-09T20:15:24.042000	8704
U129881	V88788	1	2024-03-21T02:43:46.219000	1621808
U147253	V135927	3	2024-03-29T22:19:25.278000	4599044
