impression_id	user_id	impression_ts	impressions
373649	U87114	2024-01-15T21:42:12.000000	V22612:0,V5058:1,V45510:0,V62349:0,V110104:0,V46001:0,V32098:0,V40081:0,V95165:0,V154977:0,V39142:0
3360608	U7178	2024-02-05T05:40:19.000000	V112488:0
3044778	U148783	2024-01-17T14:46:23.000000	V112927:0,V165177:0,V55630:0,V36912:0,V163322:0,V158873:1,V87761:0,V108226:0,V46658:1
731288	U129768	2024-02-07T07:36:45.000000	V126627:0,V168560:1/3,V40706:0,V24128:0,V26628:0,V76428:0,V70009:0,V107114:1/3,V113457:0,V21714:0
5383966	U151976	2024-04-29T02:35:35.000000	V90181:0,V78957:0,V99181:0,V79179:0,V42264:0,V128809:0,V154811:0,V86365:0
541467	U140924	2024-01-25T23:51:49.000000	V39417:0,V30403:0,V3626:0
3833249	U150571	2024-02-28T22:08:48.000000	V98673:0
5933365	U172465	2024-05-28T08:25:55.000000	V1561:1/2,V3451:0
845339	U113946	2024-02-15T21:42:45.000000	V19366:0,V108108:0,V18328:0,V3256:0,V32921:0,V16536:0,V17841:0,V12052:3/4,V27664:0,V64623:0
1161951	U63268	2024-03-01T06:39:17.000000	V164722:1,V127378:0,V78705:1,V86826:1,V20750:0,V50729:1
